date,entry_time,entry_price,exit_time,exit_price,signal,gross_pnl,transaction_cost,net_pnl,cum_pnl,running_max,drawdown
2015-03-18,2015-03-18 09:40:00,8697.7,2015-03-18 15:15:00,8688.55,-1,9.150000000001455,0.010980000000001745,9.139020000001453,410.81272000000143,545.8665400000018,-135.05382000000037
2015-03-19,2015-03-19 09:30:00,8772.6,2015-03-19 15:15:00,8634.9,1,-137.70000000000073,0.16524000000000086,-137.86524000000074,272.9474800000007,545.8665400000018,-272.9190600000011
2015-03-20,2015-03-20 10:40:00,8590.55,2015-03-20 15:15:00,8569.95,-1,20.599999999998545,0.02471999999999825,20.575279999998546,293.52275999999927,545.8665400000018,-252.34378000000254
2015-03-23,2015-03-23 09:30:00,8581.2,2015-03-23 15:15:00,8554.1,-1,27.100000000000364,0.03252000000000043,27.067480000000362,320.59023999999965,545.8665400000018,-225.27630000000215
2015-03-24,2015-03-24 09:45:00,8577.0,2015-03-24 15:15:00,8541.7,1,-35.29999999999927,0.04235999999999912,-35.342359999999275,285.24788000000035,545.8665400000018,-260.61866000000146
2015-03-26,2015-03-26 09:35:00,8473.95,2015-03-26 15:15:00,8339.25,-1,134.70000000000073,0.16164000000000087,134.53836000000072,419.78624000000104,545.8665400000018,-126.08030000000076
2015-03-27,2015-03-27 09:30:00,8369.55,2015-03-27 15:15:00,8346.9,-1,22.649999999999636,0.027179999999999562,22.622819999999635,442.4090600000007,545.8665400000018,-103.45748000000111
2015-03-30,2015-03-30 09:30:00,8398.25,2015-03-30 15:15:00,8492.15,1,93.89999999999964,0.11267999999999956,93.78731999999964,536.1963800000003,545.8665400000018,-9.670160000001488
2015-03-31,2015-03-31 09:30:00,8515.9,2015-03-31 15:15:00,8494.65,1,-21.25,0.0255,-21.2755,514.9208800000004,545.8665400000018,-30.945660000001453
2015-04-01,2015-04-01 10:15:00,8492.25,2015-04-01 15:15:00,8581.9,1,89.64999999999964,0.10757999999999955,89.54241999999964,604.4633,604.4633,0.0
2015-04-08,2015-04-08 09:35:00,8715.3,2015-04-08 15:15:00,8716.55,1,1.25,0.0014999999999999998,1.2485,605.7118,605.7118,0.0
2015-04-09,2015-04-09 12:40:00,8746.1,2015-04-09 15:15:00,8780.8,1,34.69999999999891,0.041639999999998685,34.65835999999891,640.3701599999989,640.3701599999989,0.0
2015-04-10,2015-04-10 09:40:00,8774.2,2015-04-10 15:15:00,8781.45,1,7.25,0.0087,7.2413,647.6114599999989,647.6114599999989,0.0
2015-04-13,2015-04-13 11:40:00,8786.85,2015-04-13 15:15:00,8832.9,1,46.04999999999927,0.05525999999999912,45.994739999999275,693.6061999999982,693.6061999999982,0.0
2015-04-16,2015-04-16 09:30:00,8742.3,2015-04-16 15:15:00,8711.75,-1,30.549999999999272,0.036659999999999124,30.513339999999275,724.1195399999975,724.1195399999975,0.0
2015-04-20,2015-04-20 09:30:00,8572.4,2015-04-20 15:15:00,8453.3,-1,119.10000000000036,0.14292000000000044,118.95708000000036,843.0766199999979,843.0766199999979,0.0
2015-04-22,2015-04-22 09:30:00,8396.1,2015-04-22 15:15:00,8440.6,-1,-44.5,0.053399999999999996,-44.5534,798.5232199999979,843.0766199999979,-44.55340000000001
2015-04-23,2015-04-23 09:30:00,8477.5,2015-04-23 15:15:00,8401.6,1,-75.89999999999964,0.09107999999999955,-75.99107999999964,722.5321399999982,843.0766199999979,-120.54447999999968
2015-04-24,2015-04-24 09:30:00,8345.4,2015-04-24 15:15:00,8306.45,-1,38.94999999999891,0.046739999999998685,38.90325999999891,761.4353999999971,843.0766199999979,-81.64122000000077
2015-04-28,2015-04-28 09:50:00,8235.55,2015-04-28 15:15:00,8297.25,1,61.70000000000073,0.07404000000000087,61.625960000000724,823.0613599999979,843.0766199999979,-20.015260000000012
2015-04-29,2015-04-29 09:30:00,8278.15,2015-04-29 15:15:00,8239.95,1,-38.19999999999891,0.04583999999999869,-38.24583999999891,784.815519999999,843.0766199999979,-58.26109999999892
2015-04-30,2015-04-30 09:30:00,8156.8,2015-04-30 15:15:00,8172.35,-1,-15.550000000000182,0.018660000000000218,-15.568660000000182,769.2468599999988,843.0766199999979,-73.82975999999906
2015-05-04,2015-05-04 09:30:00,8278.95,2015-05-04 15:15:00,8328.95,1,50.0,0.06,49.94,819.1868599999989,843.0766199999979,-23.889759999999
2015-05-05,2015-05-05 09:30:00,8304.85,2015-05-05 15:15:00,8326.2,-1,-21.350000000000364,0.025620000000000434,-21.375620000000364,797.8112399999985,843.0766199999979,-45.26537999999937
2015-05-07,2015-05-07 12:40:00,8033.2,2015-05-07 15:15:00,8069.15,-1,-35.94999999999982,0.043139999999999776,-35.99313999999982,761.8180999999987,843.0766199999979,-81.25851999999918
2015-05-11,2015-05-11 09:30:00,8254.45,2015-05-11 15:15:00,8328.3,1,73.84999999999854,0.08861999999999824,73.76137999999855,835.5794799999973,843.0766199999979,-7.497140000000627
2015-05-12,2015-05-12 09:30:00,8214.0,2015-05-12 15:15:00,8118.6,-1,95.39999999999964,0.11447999999999955,95.28551999999964,930.8649999999969,930.8649999999969,0.0
2015-05-13,2015-05-13 10:50:00,8196.35,2015-05-13 15:15:00,8234.25,-1,-37.899999999999636,0.04547999999999956,-37.945479999999634,892.9195199999973,930.8649999999969,-37.945479999999634
2015-05-14,2015-05-14 09:30:00,8186.7,2015-05-14 15:15:00,8229.25,1,42.55000000000018,0.051060000000000216,42.49894000000018,935.4184599999975,935.4184599999975,0.0
2015-05-15,2015-05-15 09:30:00,8229.75,2015-05-15 15:15:00,8260.65,-1,-30.899999999999636,0.03707999999999956,-30.937079999999636,904.4813799999979,935.4184599999975,-30.937079999999582
2015-05-18,2015-05-18 09:50:00,8316.5,2015-05-18 15:15:00,8374.45,1,57.95000000000073,0.06954000000000087,57.880460000000724,962.3618399999987,962.3618399999987,0.0
2015-05-19,2015-05-19 09:30:00,8339.05,2015-05-19 15:15:00,8368.45,-1,-29.400000000001455,0.03528000000000174,-29.435280000001455,932.9265599999972,962.3618399999987,-29.435280000001512
2015-05-20,2015-05-20 12:10:00,8408.4,2015-05-20 15:15:00,8422.65,-1,-14.25,0.017099999999999997,-14.2671,918.6594599999971,962.3618399999987,-43.70238000000154
2015-05-21,2015-05-21 09:30:00,8411.9,2015-05-21 15:15:00,8422.1,-1,-10.200000000000728,0.012240000000000872,-10.212240000000728,908.4472199999964,962.3618399999987,-53.91462000000229
2015-05-22,2015-05-22 09:45:00,8437.1,2015-05-22 15:15:00,8461.2,1,24.100000000000364,0.028920000000000435,24.071080000000364,932.5182999999968,962.3618399999987,-29.843540000001894
2015-05-25,2015-05-25 10:15:00,8432.65,2015-05-25 15:15:00,8373.35,1,-59.29999999999927,0.07115999999999913,-59.37115999999927,873.1471399999975,962.3618399999987,-89.21470000000113
2015-05-26,2015-05-26 09:30:00,8343.35,2015-05-26 15:15:00,8332.45,-1,10.899999999999636,0.013079999999999562,10.886919999999636,884.0340599999972,962.3618399999987,-78.32778000000144
2015-05-28,2015-05-28 09:40:00,8337.45,2015-05-28 15:15:00,8321.05,-1,16.400000000001455,0.019680000000001745,16.380320000001454,900.4143799999987,962.3618399999987,-61.94745999999998
2015-06-01,2015-06-01 09:40:00,8425.35,2015-06-01 15:15:00,8436.4,-1,-11.049999999999272,0.013259999999999125,-11.063259999999271,889.3511199999995,962.3618399999987,-73.0107199999992
2015-06-02,2015-06-02 11:00:00,8360.3,2015-06-02 15:15:00,8236.85,-1,123.44999999999891,0.1481399999999987,123.30185999999891,1012.6529799999984,1012.6529799999984,0.0
2015-06-03,2015-06-03 09:40:00,8185.7,2015-06-03 15:15:00,8128.5,-1,57.19999999999982,0.06863999999999977,57.131359999999816,1069.784339999998,1069.784339999998,0.0
2015-06-04,2015-06-04 09:30:00,8123.9,2015-06-04 15:15:00,8127.6,-1,-3.7000000000007276,0.004440000000000873,-3.7044400000007283,1066.0798999999975,1069.784339999998,-3.704440000000659
2015-06-05,2015-06-05 09:45:00,8109.35,2015-06-05 15:15:00,8118.55,-1,-9.199999999999818,0.011039999999999781,-9.211039999999818,1056.8688599999975,1069.784339999998,-12.91548000000057
2015-06-08,2015-06-08 09:30:00,8066.45,2015-06-08 15:15:00,8051.55,-1,14.899999999999636,0.017879999999999563,14.882119999999636,1071.750979999997,1071.750979999997,0.0
2015-06-09,2015-06-09 09:30:00,8040.4,2015-06-09 15:15:00,8025.1,1,-15.299999999999272,0.018359999999999124,-15.318359999999272,1056.4326199999978,1071.750979999997,-15.318359999999302
2015-06-10,2015-06-10 09:40:00,8106.95,2015-06-10 15:15:00,8122.25,1,15.300000000000182,0.018360000000000216,15.281640000000182,1071.714259999998,1071.750979999997,-0.03671999999914988
2015-06-11,2015-06-11 09:30:00,8142.95,2015-06-11 15:15:00,7969.3,-1,173.64999999999964,0.20837999999999954,173.44161999999963,1245.1558799999975,1245.1558799999975,0.0
2015-06-12,2015-06-12 09:45:00,7948.3,2015-06-12 15:15:00,7984.5,-1,-36.19999999999982,0.04343999999999978,-36.243439999999815,1208.9124399999978,1245.1558799999975,-36.24343999999974
2015-06-16,2015-06-16 09:35:00,7976.65,2015-06-16 15:15:00,8050.45,-1,-73.80000000000018,0.08856000000000021,-73.88856000000018,1135.0238799999977,1245.1558799999975,-110.13199999999983
2015-06-17,2015-06-17 09:35:00,8066.0,2015-06-17 15:15:00,8089.8,-1,-23.800000000000182,0.028560000000000217,-23.82856000000018,1111.1953199999975,1245.1558799999975,-133.96056
2015-06-18,2015-06-18 09:40:00,8153.15,2015-06-18 15:15:00,8174.4,1,21.25,0.0255,21.2245,1132.4198199999976,1245.1558799999975,-112.73605999999995
2015-06-19,2015-06-19 09:30:00,8206.35,2015-06-19 15:15:00,8214.1,-1,-7.75,0.0093,-7.7593,1124.6605199999976,1245.1558799999975,-120.49535999999989
2015-06-22,2015-06-22 09:30:00,8270.25,2015-06-22 15:15:00,8351.9,-1,-81.64999999999964,0.09797999999999955,-81.74797999999963,1042.912539999998,1245.1558799999975,-202.24333999999953
2015-06-23,2015-06-23 09:30:00,8363.5,2015-06-23 15:15:00,8384.45,1,20.950000000000728,0.02514000000000087,20.924860000000727,1063.8373999999988,1245.1558799999975,-181.31847999999877
2015-06-24,2015-06-24 15:05:00,8375.45,2015-06-24 15:15:00,8345.3,-1,30.150000000001455,0.036180000000001745,30.113820000001454,1093.9512200000001,1245.1558799999975,-151.20465999999738
2015-06-25,2015-06-25 09:35:00,8360.85,2015-06-25 15:15:00,8397.0,1,36.149999999999636,0.04337999999999956,36.10661999999964,1130.0578399999997,1245.1558799999975,-115.09803999999781
