date,entry_time,entry_price,exit_time,exit_price,signal,gross_pnl,net_pnl
2017-10-11,2017-10-11 09:40:00,10057.05,2017-10-11 15:15:00,9983.2,1,-73.8500,-73.9386
2017-10-12,2017-10-12 09:30:00,9999.05,2017-10-12 15:15:00,10097.8,1,98.7500,98.6315
2017-10-13,2017-10-13 09:30:00,10159,2017-10-13 15:15:00,10169.45,1,10.4500,10.4375
2017-10-16,2017-10-16 09:35:00,10240.75,2017-10-16 15:15:00,10226.55,1,-14.2000,-14.2170
2017-10-17,2017-10-17 09:30:00,10220.45,2017-10-17 15:15:00,10235.25,-1,-14.8000,-14.8178
2017-10-18,2017-10-18 10:15:00,10189.85,2017-10-18 15:15:00,10203.65,-1,-13.8000,-13.8166
2017-10-23,2017-10-23 09:40:00,10192.1,2017-10-23 15:15:00,10189.95,-1,2.1500,2.1474
2017-10-24,2017-10-24 09:30:00,10203.35,2017-10-24 15:15:00,10210.65,1,7.3000,7.2912
2017-10-25,2017-10-25 09:45:00,10256.05,2017-10-25 15:15:00,10300.7,-1,-44.6500,-44.7036
2017-10-26,2017-10-26 11:15:00,10294.85,2017-10-26 15:15:00,10345.75,1,50.9000,50.8389
2017-10-27,2017-10-27 11:15:00,10335.15,2017-10-27 15:15:00,10320.15,-1,15.0000,14.9820
2017-10-30,2017-10-30 09:35:00,10368.1,2017-10-30 15:15:00,10365.95,1,-2.1500,-2.1526
2017-10-31,2017-10-31 09:40:00,10361.35,2017-10-31 15:15:00,10334,1,-27.3500,-27.3828
2017-11-03,2017-11-03 09:35:00,10421.1,2017-11-03 15:15:00,10449.45,-1,-28.3500,-28.3840
2017-11-06,2017-11-06 09:30:00,10434.3,2017-11-06 15:15:00,10455.3,-1,-21.0000,-21.0252
2017-11-07,2017-11-07 09:50:00,10450.8,2017-11-07 15:15:00,10348.2,-1,102.6000,102.4769
2017-11-08,2017-11-08 09:30:00,10373.2,2017-11-08 15:15:00,10306.8,-1,66.4000,66.3203
2017-11-10,2017-11-10 14:55:00,10257,2017-11-10 15:15:00,10338.25,-1,-81.2500,-81.3475
2017-11-13,2017-11-13 09:30:00,10292.2,2017-11-13 15:15:00,10228.1,-1,64.1000,64.0231
2017-11-15,2017-11-15 10:40:00,10146.7,2017-11-15 15:15:00,10122.4,-1,24.3000,24.2708
2017-11-16,2017-11-16 10:10:00,10166.95,2017-11-16 15:15:00,10208.9,1,41.9500,41.8997
2017-11-17,2017-11-17 09:30:00,10314.1,2017-11-17 15:15:00,10287.45,-1,26.6500,26.6180
2017-11-20,2017-11-20 09:30:00,10304.3,2017-11-20 15:15:00,10301.65,1,-2.6500,-2.6532
2017-11-21,2017-11-21 09:40:00,10326.8,2017-11-21 15:15:00,10326.95,-1,-0.1500,-0.1502
2017-11-22,2017-11-22 09:30:00,10353.65,2017-11-22 15:15:00,10339.75,-1,13.9000,13.8833
2017-11-23,2017-11-23 09:30:00,10348.1,2017-11-23 15:15:00,10348,1,-0.1000,-0.1001
2017-11-24,2017-11-24 09:30:00,10378.95,2017-11-24 15:15:00,10389.5,1,10.5500,10.5373
2017-11-27,2017-11-27 10:20:00,10367.75,2017-11-27 15:15:00,10400.45,1,32.7000,32.6608
2017-11-28,2017-11-28 09:30:00,10374.8,2017-11-28 15:15:00,10372.05,-1,2.7500,2.7467
2017-11-29,2017-11-29 09:30:00,10375.95,2017-11-29 15:15:00,10366.5,-1,9.4500,9.4387
2017-11-30,2017-11-30 09:35:00,10310.9,2017-11-30 15:15:00,10222.05,1,-88.8500,-88.9566
2017-12-01,2017-12-01 09:45:00,10246.3,2017-12-01 15:15:00,10125.05,-1,121.2500,121.1045
2017-12-04,2017-12-04 09:40:00,10124.3,2017-12-04 15:15:00,10123.9,1,-0.4000,-0.4005
2017-12-05,2017-12-05 09:30:00,10085.45,2017-12-05 15:15:00,10114.95,-1,-29.5000,-29.5354
2017-12-06,2017-12-06 09:40:00,10101.2,2017-12-06 15:15:00,10043.05,1,-58.1500,-58.2198
2017-12-07,2017-12-07 09:30:00,10088.9,2017-12-07 15:15:00,10173.8,1,84.9000,84.7981
2017-12-08,2017-12-08 09:40:00,10228.25,2017-12-08 15:15:00,10263.6,1,35.3500,35.3076
2017-12-11,2017-12-11 09:50:00,10320.8,2017-12-11 15:15:00,10320.4,1,-0.4000,-0.4005
2017-12-12,2017-12-12 10:05:00,10281.95,2017-12-12 15:15:00,10242.85,-1,39.1000,39.0531
2017-12-13,2017-12-13 10:05:00,10221.8,2017-12-13 15:15:00,10196.8,-1,25.0000,24.9700
2017-12-14,2017-12-14 14:35:00,10217.65,2017-12-14 15:15:00,10253.3,1,35.6500,35.6072
2017-12-15,2017-12-15 09:35:00,10357.1,2017-12-15 15:15:00,10337.05,1,-20.0500,-20.0741
2017-12-18,2017-12-18 09:30:00,10293.3,2017-12-18 15:15:00,10392,1,98.7000,98.5816
2017-12-20,2017-12-20 09:30:00,10475.35,2017-12-20 15:15:00,10443.35,1,-32.0000,-32.0384
2017-12-22,2017-12-22 09:30:00,10462.25,2017-12-22 15:15:00,10498.1,-1,-35.8500,-35.8930
2017-12-26,2017-12-26 09:35:00,10493.6,2017-12-26 15:15:00,10529.2,-1,-35.6000,-35.6427
2017-12-27,2017-12-27 09:35:00,10535.7,2017-12-27 15:15:00,10503.7,1,-32.0000,-32.0384
2017-12-28,2017-12-28 10:00:00,10493.85,2017-12-28 15:15:00,10472.2,-1,21.6500,21.6240
2017-12-29,2017-12-29 10:15:00,10515.5,2017-12-29 15:15:00,10534.35,1,18.8500,18.8274
2018-01-01,2018-01-01 09:30:00,10516.9,2018-01-01 15:15:00,10443.25,-1,73.6500,73.5616
2018-01-03,2018-01-03 09:45:00,10483,2018-01-03 15:15:00,10440.65,1,-42.3500,-42.4008
2018-01-04,2018-01-04 09:40:00,10460.05,2018-01-04 15:15:00,10503.95,1,43.9000,43.8473
2018-01-05,2018-01-05 09:30:00,10546.75,2018-01-05 15:15:00,10555.3,1,8.5500,8.5397
2018-01-08,2018-01-08 09:30:00,10605,2018-01-08 15:15:00,10625.8,-1,-20.8000,-20.8250
2018-01-09,2018-01-09 10:20:00,10628.9,2018-01-09 15:15:00,10636.75,1,7.8500,7.8406
2018-01-10,2018-01-10 09:30:00,10632.3,2018-01-10 15:15:00,10636.25,-1,-3.9500,-3.9547
2018-01-11,2018-01-11 09:35:00,10616,2018-01-11 15:15:00,10651.5,-1,-35.5000,-35.5426
2018-01-15,2018-01-15 09:30:00,10734.9,2018-01-15 15:15:00,10740.35,1,5.4500,5.4435
2018-01-16,2018-01-16 09:35:00,10756.3,2018-01-16 15:15:00,10698.25,1,-58.0500,-58.1197
2018-01-17,2018-01-17 09:30:00,10674.75,2018-01-17 15:15:00,10788.55,-1,-113.8000,-113.9366
2018-01-18,2018-01-18 09:30:00,10883.35,2018-01-18 15:15:00,10816.65,1,-66.7000,-66.7800
2018-01-19,2018-01-19 10:00:00,10843.8,2018-01-19 15:15:00,10890.05,1,46.2500,46.1945
2018-01-22,2018-01-22 10:00:00,10920.7,2018-01-22 15:15:00,10956.75,1,36.0500,36.0067
2018-01-23,2018-01-23 09:30:00,11029,2018-01-23 15:15:00,11087.9,1,58.9000,58.8293
2018-01-24,2018-01-24 09:30:00,11105.95,2018-01-24 15:15:00,11091.5,1,-14.4500,-14.4673
2018-01-25,2018-01-25 09:50:00,11081.8,2018-01-25 15:15:00,11074.8,1,-7.0000,-7.0084
2018-01-29,2018-01-29 09:30:00,11135.9,2018-01-29 15:15:00,11133.05,1,-2.8500,-2.8534
2018-02-01,2018-02-01 12:10:00,11014.25,2018-02-01 15:15:00,11020.35,-1,-6.1000,-6.1073
2018-02-02,2018-02-02 09:35:00,10946.45,2018-02-02 15:15:00,10771.95,1,-174.5000,-174.7094
2018-02-06,2018-02-06 13:00:00,10413.1,2018-02-06 15:15:00,10478.5,1,65.4000,65.3215
2018-02-07,2018-02-07 09:40:00,10546.55,2018-02-07 15:15:00,10479.65,-1,66.9000,66.8197
2018-02-08,2018-02-08 09:30:00,10551.2,2018-02-08 15:15:00,10584.65,1,33.4500,33.4099
2018-02-09,2018-02-09 09:30:00,10440.75,2018-02-09 15:15:00,10461.55,1,20.8000,20.7750
2018-02-12,2018-02-12 09:35:00,10518.3,2018-02-12 15:15:00,10539.15,-1,-20.8500,-20.8750
2018-02-14,2018-02-14 09:35:00,10534.9,2018-02-14 15:15:00,10503,-1,31.9000,31.8617
2018-02-15,2018-02-15 14:45:00,10526.15,2018-02-15 15:15:00,10548.3,-1,-22.1500,-22.1766
2018-02-19,2018-02-19 09:30:00,10432.6,2018-02-19 15:15:00,10376.5,-1,56.1000,56.0327
2018-02-20,2018-02-20 14:50:00,10373.95,2018-02-20 15:15:00,10353.15,-1,20.8000,20.7750
2018-02-21,2018-02-21 09:30:00,10374.35,2018-02-21 15:15:00,10395.7,-1,-21.3500,-21.3756
2018-02-22,2018-02-22 09:30:00,10345.6,2018-02-22 15:15:00,10380.35,-1,-34.7500,-34.7917
2018-02-23,2018-02-23 09:30:00,10407.95,2018-02-23 15:15:00,10487.25,-1,-79.3000,-79.3952
2018-02-26,2018-02-26 09:45:00,10549.8,2018-02-26 15:15:00,10586.6,1,36.8000,36.7558
2018-02-27,2018-02-27 09:30:00,10598.05,2018-02-27 15:15:00,10555.3,-1,42.7500,42.6987
2018-02-28,2018-02-28 09:30:00,10488.7,2018-02-28 15:15:00,10492.25,1,3.5500,3.5457
2018-03-01,2018-03-01 09:35:00,10509.25,2018-03-01 15:15:00,10459.3,-1,49.9500,49.8901
2018-03-07,2018-03-07 09:50:00,10229.65,2018-03-07 15:15:00,10149.9,1,-79.7500,-79.8457
2018-03-08,2018-03-08 14:30:00,10238.6,2018-03-08 15:15:00,10227.3,1,-11.3000,-11.3136
2018-03-09,2018-03-09 09:35:00,10265.65,2018-03-09 15:15:00,10225.95,1,-39.7000,-39.7476
2018-03-12,2018-03-12 09:30:00,10304.75,2018-03-12 15:15:00,10427.6,-1,-122.8500,-122.9974
