date,entry_price,exit_price,signal,gross_pnl,net_pnl,cum_pnl,running_max,drawdown
2019-08-07,10937.7,10858.05,1,-79.65,-79.55442,2032.138,2977.087,-944.9493
2019-08-08,10869.7,11020.75,-1,-151.05,-151.2313,1880.906,2977.087,-1096.181
2019-08-09,11122.3,11110.85,1,-11.45,-11.43626,1869.47,2977.087,-1107.617
2019-08-13,11045.75,10935.6,-1,110.15,110.2822,1979.752,2977.087,-997.3347
2019-08-14,10957.7,11038.7,-1,-81,-81.0972,1898.655,2977.087,-1078.432
2019-08-16,10930,11049.55,-1,-119.55,-119.6935,1778.962,2977.087,-1198.125
2019-08-19,11088.85,11055.3,-1,33.55,33.59026,1812.552,2977.087,-1164.535
2019-08-21,10983.35,10917.75,-1,65.6,65.67872,1878.231,2977.087,-1098.856
2019-08-23,10654.7,10828.3,-1,-173.6,-173.8083,1704.422,2977.087,-1272.665
2019-08-26,10861,11056.2,-1,-195.2,-195.4342,1508.988,2977.087,-1468.099
2019-08-27,11066.1,11104.75,-1,-38.65,-38.69638,1470.292,2977.087,-1506.795
2019-08-28,11099.2,11042.6,-1,56.6,56.66792,1526.96,2977.087,-1450.127
2019-08-29,10990.45,10937.25,1,-53.2,-53.13616,1473.823,2977.087,-1503.264
2019-08-30,11011.95,11020.95,1,9,8.9892,1482.813,2977.087,-1494.274
2019-09-03,10891.2,10807.7,-1,83.5,83.6002,1566.413,2977.087,-1410.674
2019-09-04,10753.6,10854.4,-1,-100.8,-100.921,1465.492,2977.087,-1511.595
2019-09-05,10881.6,10852.1,-1,29.5,29.5354,1495.027,2977.087,-1482.06
2019-09-06,10878.5,10948.65,-1,-70.15,-70.23418,1424.793,2977.087,-1552.294
2019-09-09,10912.45,11002.45,1,90,89.892,1514.685,2977.087,-1462.402
2019-09-11,11042.8,11040.2,1,-2.6,-2.59688,1512.088,2977.087,-1464.999
2019-09-12,11059.1,10976.75,-1,82.35,82.44882,1594.537,2977.087,-1382.55
2019-09-13,10998.7,11078.6,-1,-79.9,-79.99588,1514.541,2977.087,-1462.546
2019-09-16,11030.3,11004.8,1,-25.5,-25.4694,1489.072,2977.087,-1488.015
2019-09-18,10840.85,10836.3,-1,4.55,4.55546,1493.627,2977.087,-1483.46
2019-09-19,10773.45,10708.55,-1,64.9,64.97788,1558.605,2977.087,-1418.482
2019-09-20,10740.2,11279.7,1,539.5,538.8526,2097.458,2977.087,-879.6293
2019-09-23,11579.15,-0w,1,-0w,,2097.458,2977.087,-879.6293
2019-09-25,11519.25,11458.2,1,-61.05,-60.97674,2036.481,2977.087,-940.606
2019-09-26,11537.7,11567.8,1,30.1,30.06388,2066.545,2977.087,-910.5421
2019-09-30,11431.65,11469.45,-1,-37.8,-37.84536,2028.699,2977.087,-948.3875
2019-10-01,11539.3,11342.05,1,-197.25,-197.0133,1831.686,2977.087,-1145.401
2019-10-03,11333.15,11310.6,1,-22.55,-22.52294,1809.163,2977.087,-1167.924
2019-10-04,11351.1,11171.05,-1,180.05,180.2661,1989.429,2977.087,-987.6577
2019-10-07,11173.65,11117.9,1,-55.75,-55.6831,1933.746,2977.087,-1043.341
2019-10-09,11166.45,11311.2,1,144.75,144.5763,2078.322,2977.087,-898.7645
2019-10-10,11261.9,11233.85,-1,28.05,28.08366,2106.406,2977.087,-870.6808
2019-10-11,11336.6,11309.5,1,-27.1,-27.06748,2079.339,2977.087,-897.7483
2019-10-16,11473.4,11471.4,1,-2,-1.9976,2077.341,2977.087,-899.7459
2019-10-17,11452.8,11594,-1,-141.2,-141.3694,1935.972,2977.087,-1041.115
2019-10-18,11618.55,11664.05,1,45.5,45.4454,1981.417,2977.087,-995.6699
2019-10-23,11588.85,11604.6,1,15.75,15.7311,1997.148,2977.087,-979.9388
2019-10-24,11638.3,11580.85,-1,57.45,57.51894,2054.667,2977.087,-922.4199
2019-10-25,11608.3,11584.05,1,-24.25,-24.2209,2030.446,2977.087,-946.6408
2019-10-30,11833.55,11843.8,1,10.25,10.2377,2040.684,2977.087,-936.4031
2019-10-31,11919.75,11890.05,1,-29.7,-29.66436,2011.02,2977.087,-966.0675
2019-11-01,11900.55,11888.4,-1,12.15,12.16458,2023.184,2977.087,-953.9029
2019-11-04,11955.7,11936.9,-1,18.8,18.82256,2042.007,2977.087,-935.0803
2019-11-05,11921.8,11918.4,-1,3.4,3.40408,2045.411,2977.087,-931.6762
2019-11-06,11914.45,11965.3,1,50.85,50.78898,2096.2,2977.087,-880.8873
2019-11-07,11995,12013,-1,-18,-18.0216,2078.178,2977.087,-898.9089
2019-11-08,11991.7,11908.5,1,-83.2,-83.10016,1995.078,2977.087,-982.009
